#Entry	Entry name	Length	Organism
Q562C9	MTND_RAT	179	Rattus norvegicus (Rat)
P68250	1433B_BOVIN	246	Bos taurus (Bovine)
Q4R572	1433B_MACFA	246	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
A4K2U9	1433B_PONAB	246	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
P68251	1433B_SHEEP	193	Ovis aries (Sheep)
Q9CQV8	1433B_MOUSE	246	Mus musculus (Mouse)
P35213	1433B_RAT	246	Rattus norvegicus (Rat)
P31946	1433B_HUMAN	246	Homo sapiens (Human)
P62258	1433E_HUMAN	255	Homo sapiens (Human)
P63104	1433Z_HUMAN	245	Homo sapiens (Human)
Q8R3B1	PLCD1_MOUSE	756	Mus musculus (Mouse)
Q8K2J0	PLCD3_MOUSE	785	Mus musculus (Mouse)
P19174	PLCG1_HUMAN	1290	Homo sapiens (Human)
Q05823	RN5A_HUMAN	741	Homo sapiens (Human)
Q05921	RN5A_MOUSE	735	Mus musculus (Mouse)
Q29599	OAS1_PIG	349	Sus scrofa (Pig)
P00973	OAS1_HUMAN	400	Homo sapiens (Human)
P11928	OAS1A_MOUSE	367	Mus musculus (Mouse)
Q05961	OAS1A_RAT	358	Rattus norvegicus (Rat)
Q5MYU0	OAS2_RAT	733	Rattus norvegicus (Rat)
P29728	OAS2_HUMAN	719	Homo sapiens (Human)
F1N3B8	OAS2_BOVIN	714	Bos taurus (Bovine)
E9Q9A9	OAS2_MOUSE	742	Mus musculus (Mouse)
Q8VI93	OAS3_MOUSE	1138	Mus musculus (Mouse)
Q5MYT7	OAS3_RAT	1137	Rattus norvegicus (Rat)
Q9Y6K5	OAS3_HUMAN	1087	Homo sapiens (Human)
Q2KIW6	PRS10_BOVIN	389	Bos taurus (Bovine)
P62334	PRS10_MOUSE	389	Mus musculus (Mouse)
P62333	PRS10_HUMAN	389	Homo sapiens (Human)
P62193	PRS4_RAT	440	Rattus norvegicus (Rat)
P62192	PRS4_MOUSE	440	Mus musculus (Mouse)
P62191	PRS4_HUMAN	440	Homo sapiens (Human)
Q63569	PRS6A_RAT	439	Rattus norvegicus (Rat)
O88685	PRS6A_MOUSE	442	Mus musculus (Mouse)
P17980	PRS6A_HUMAN	439	Homo sapiens (Human)
P43686	PRS6B_HUMAN	418	Homo sapiens (Human)
Q4R7L3	PRS6B_MACFA	418	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
P54775	PRS6B_MOUSE	418	Mus musculus (Mouse)
Q63570	PRS6B_RAT	418	Rattus norvegicus (Rat)
Q3T030	PRS6B_BOVIN	418	Bos taurus (Bovine)
P46471	PRS7_MOUSE	433	Mus musculus (Mouse)
Q4R4R0	PRS7_MACFA	433	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Q5R8D7	PRS7_PONAB	433	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q63347	PRS7_RAT	433	Rattus norvegicus (Rat)
Q5E9F9	PRS7_BOVIN	433	Bos taurus (Bovine)
P35998	PRS7_HUMAN	433	Homo sapiens (Human)
P62194	PRS8_BOVIN	406	Bos taurus (Bovine)
P62195	PRS8_HUMAN	406	Homo sapiens (Human)
P62197	PRS8_PIG	406	Sus scrofa (Pig)
P62196	PRS8_MOUSE	406	Mus musculus (Mouse)
P62198	PRS8_RAT	406	Rattus norvegicus (Rat)
Q3ZBR6	SEM1_BOVIN	70	Bos taurus (Bovine)
P60896	SEM1_HUMAN	70	Homo sapiens (Human)
P60897	SEM1_MOUSE	70	Mus musculus (Mouse)
Q99460	PSMD1_HUMAN	953	Homo sapiens (Human)
O88761	PSMD1_RAT	953	Rattus norvegicus (Rat)
Q5F418	PSMD1_CHICK	955	Gallus gallus (Chicken)
Q3TXS7	PSMD1_MOUSE	953	Mus musculus (Mouse)
Q5R5S4	PSMD1_PONAB	953	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
O75832	PSD10_HUMAN	226	Homo sapiens (Human)
Q9Z2X3	PSD10_RAT	231	Rattus norvegicus (Rat)
Q9Z2X2	PSD10_MOUSE	231	Mus musculus (Mouse)
F6XBL2	PSD11_XENTR	422	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
O00231	PSD11_HUMAN	422	Homo sapiens (Human)
F1LMZ8	PSD11_RAT	422	Rattus norvegicus (Rat)
Q2KI42	PSD11_BOVIN	422	Bos taurus (Bovine)
Q8BG32	PSD11_MOUSE	422	Mus musculus (Mouse)
O00232	PSD12_HUMAN	456	Homo sapiens (Human)
Q2KJ25	PSD12_BOVIN	456	Bos taurus (Bovine)
Q9D8W5	PSD12_MOUSE	456	Mus musculus (Mouse)
Q5RBI3	PSD12_PONAB	456	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
B0BN93	PSD13_RAT	376	Rattus norvegicus (Rat)
Q9WVJ2	PSD13_MOUSE	376	Mus musculus (Mouse)
Q9UNM6	PSD13_HUMAN	376	Homo sapiens (Human)
Q5E964	PSD13_BOVIN	376	Bos taurus (Bovine)
P84169	PSD13_CHICK	376	Gallus gallus (Chicken)
O00487	PSDE_HUMAN	310	Homo sapiens (Human)
O35593	PSDE_MOUSE	310	Mus musculus (Mouse)
Q5R9I6	PSMD2_PONAB	908	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q4FZT9	PSMD2_RAT	908	Rattus norvegicus (Rat)
Q13200	PSMD2_HUMAN	908	Homo sapiens (Human)
P56701	PSMD2_BOVIN	908	Bos taurus (Bovine)
Q8VDM4	PSMD2_MOUSE	908	Mus musculus (Mouse)
P14685	PSMD3_MOUSE	530	Mus musculus (Mouse)
O43242	PSMD3_HUMAN	534	Homo sapiens (Human)
Q2KJ46	PSMD3_BOVIN	534	Bos taurus (Bovine)
Q58DA0	PSMD4_BOVIN	382	Bos taurus (Bovine)
P55036	PSMD4_HUMAN	377	Homo sapiens (Human)
O35226	PSMD4_MOUSE	376	Mus musculus (Mouse)
Q15008	PSMD6_HUMAN	389	Homo sapiens (Human)
Q99JI4	PSMD6_MOUSE	389	Mus musculus (Mouse)
Q3T0B2	PSMD6_BOVIN	389	Bos taurus (Bovine)
P26516	PSMD7_MOUSE	321	Mus musculus (Mouse)
P51665	PSMD7_HUMAN	324	Homo sapiens (Human)
Q3ZBD0	PSMD7_BOVIN	322	Bos taurus (Bovine)
Q9CX56	PSMD8_MOUSE	353	Mus musculus (Mouse)
P48556	PSMD8_HUMAN	350	Homo sapiens (Human)
Q3SYT7	PSMD8_BOVIN	287	Bos taurus (Bovine)
Q5RE15	PSMD8_PONAB	289	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q92552	RT27_HUMAN	414	Homo sapiens (Human)
Q9ER88	RT29_MOUSE	391	Mus musculus (Mouse)
P82922	RT29_BOVIN	397	Bos taurus (Bovine)
P51398	RT29_HUMAN	398	Homo sapiens (Human)
A9LNK9	CPSF_ARATH	631	Arabidopsis thaliana (Mouse-ear cress)
P83222	NUC34_STRAT	9	Streptomyces antibioticus
Q01163	RT23_YEAST	450	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P52815	RM12_HUMAN	198	Homo sapiens (Human)
Q9NX20	RM16_HUMAN	251	Homo sapiens (Human)
Q8IXM3	RM41_HUMAN	137	Homo sapiens (Human)
Q5BJX1	RM41_RAT	134	Rattus norvegicus (Rat)
Q9CQN7	RM41_MOUSE	135	Mus musculus (Mouse)
Q502B0	RM41_DANRE	135	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6DJI4	RM41A_XENLA	135	Xenopus laevis (African clawed frog)
Q6INF3	RM41B_XENLA	135	Xenopus laevis (African clawed frog)
Q8BWT1	THIM_MOUSE	397	Mus musculus (Mouse)
Q5RES5	THIM_PONAB	397	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
P42765	THIM_HUMAN	397	Homo sapiens (Human)
